slug,name,role,origin_character_slug,description_summary,tags,icon_url
hex-devour-hope,貪られる希望,killer,the-hag,生存者のフック救助時に一撃ダウンやメメント権を得る呪い,totem;chase,perks/hex-devour-hope.png
overwhelming-presence,圧倒的存在感,killer,the-doctor,自身の脅威範囲内にいる生存者のアイテム消費効率を倍にする,chase,perks/overwhelming-presence.png
monitor-and-abuse,観察＆虐待,killer,the-doctor,非追跡時に脅威範囲を狭め追跡時は視野角を大きく広げる,chase;stealth;info,perks/monitor-and-abuse.png
overcharge,オーバーチャージ,killer,the-doctor,発電機を破壊した直後高難度のスキルチェックを付与する,gen-related,perks/overcharge.png
beast-of-prey,猛獣,killer,the-huntress,チェイスで渇望状態を得ている間は完全に探知不可となる,stealth;chase,perks/beast-of-prey.png
territorial-imperative,縄張り意識,killer,the-huntress,地下室にサバイバーが侵入した際オーラで位置を知らせる,aura;info,perks/territorial-imperative.png
hex-huntress-lullaby,呪術：女狩人の子守唄,killer,the-huntress,吊るすごとにスキルチェック直前の事前警告音を遅らせる,totem;gen-related,perks/hex-huntress-lullaby.png
knock-out,ノックアウト,killer,the-cannibal,ダウンした生存者のオーラを他生存者から確認不能にする,info,perks/knock-out.png
barbecue-and-chilli,バーベキュー＆チリ,killer,the-cannibal,生存者を吊るした瞬間遠方にいる全員のオーラを表示する,aura;info,perks/barbecue-and-chilli.png
franklins-demise,フランクリンの悲劇,killer,the-cannibal,通常攻撃した生存者に所持しているアイテムを落とさせる,chase,perks/franklins-demise.png
fire-up,ファイヤー・アップ,killer,the-nightmare,発電機の修理が完了するたびに様々な動作速度が上昇する,chase;gen-related,perks/fire-up.png
remember-me,リメンバー・ミー,killer,the-nightmare,オブセッションへの攻撃で脱出ゲートの開放時間を延ばす,chase,perks/remember-me.png
blood-warden,血の番人,killer,the-nightmare,ゲート開放後に生存者を吊るすと出口の封鎖とオーラ表示,info,perks/blood-warden.png
scourge-hook-hangmans-trick,処刑人の妙技,killer,the-pig,生存者を担いでいる際悶絶フック付近の生存者を表示する,aura;info,perks/scourge-hook-hangmans-trick.png
surveillance,監視,killer,the-pig,後退中の発電機が再び修理され始めた瞬間にオーラで通知,aura;info;gen-related,perks/surveillance.png
make-your-choice,選択は君次第だ,killer,the-pig,フックから遠く離れた位置で救助された生存者を無防備に,info,perks/make-your-choice.png
bamboozle,まやかし,killer,the-clown,窓枠を乗り越えた際そこを封鎖し自身の乗り越えを早める,chase,perks/bamboozle.png
coulrophobia,ピエロ恐怖症,killer,the-clown,自身の脅威範囲内にいる全生存者の治療速度を低下させる,healing,perks/coulrophobia.png
pop-goes-the-weasel,イタチが飛び出した,killer,the-clown,生存者フック吊り後の発電機キックで大幅に進行を減退する,gen-related,perks/pop-goes-the-weasel.png
spirit-fury,怨霊の怒り,killer,the-spirit,板を規定数壊した後に板を当てられた際即座に自動破壊する,chase,perks/spirit-fury.png
hex-haunted-ground,呪術：霊障の地,killer,the-spirit,罠トーテムが浄化された際全員を一定時間無防備状態にする,totem,perks/hex-haunted-ground.png
rancor,怨恨,killer,the-spirit,通電時オブセを無防備かつキラーの手で殺害可能にする,aura;info,perks/rancor.png
discordance,不協和音,killer,the-legion,複数人で同時に修理している発電機の場所をオーラ通知する,aura;info;gen-related,perks/discordance.png
mad-grit,狂気の根性,killer,the-legion,生存者を担ぎ中に攻撃した際の空振りクールダウンをなくす,chase,perks/mad-grit.png
iron-maiden,アイアンメイデン,killer,the-legion,ロッカー開放速度を短縮しロッカーから出た者を無防備にする,info,perks/iron-maiden.png
corrupt-intervention,堕落の介入,killer,the-plague,儀式開始時に最も離れた位置の発電機３台を一時封鎖する,gen-related,perks/corrupt-intervention.png
infectious-fright,伝播する怖気,killer,the-plague,生存者ダウン時に脅威範囲にいる他全員を叫ばせ位置を特定,info,perks/infectious-fright.png
dark-devotion,闇の信仰心,killer,the-plague,オブセッションを通常攻撃で負傷させ自身の心音をなすりつける,stealth,perks/dark-devotion.png
im-all-ears,地獄耳,killer,the-ghost-face,自身の近くで大きい音のアクションを行った生存者を可視化する,aura;info,perks/im-all-ears.png
thrilling-tremors,戦慄,killer,the-ghost-face,生存者を担いだ瞬間に修理中でない全発電機を一時的に封鎖,info;gen-related,perks/thrilling-tremors.png
furtive-chase,隠密の追跡,killer,the-ghost-face,オブセッションを吊るすごとに探知不可と迅速の効果を得る,stealth;chase,perks/furtive-chase.png
surge,サージ,killer,the-demogorgon,通常攻撃で生存者をダウンした際周囲の発電機を即座に退退する,gen-related,perks/surge.png
mindbreaker,マインドブレーカー,killer,the-demogorgon,発電機の修理中および修理直後の生存者に疲労と盲目を課す,gen-related;chase,perks/mindbreaker.png
cruel-limits,無慈悲の極地,killer,the-demogorgon,発電機の修理が完了した際に周囲にある窓枠をすべて封鎖する,chase,perks/cruel-limits.png
zanshin-tactics,残心の戦術,killer,the-oni,周囲のすべての窓枠およびパレットのオーラを常に表示する,aura;info,perks/zanshin-tactics.png
blood-echo,血の共鳴,killer,the-oni,生存者を吊るしたとき他負傷中の全員に疲労と出血を付与する,info;chase,perks/blood-echo.png
nemesis,天誅,killer,the-oni,自身をスタンや眩まし状態にした生存者を新規のオブセとする,info;aura,perks/nemesis.png
gearhead,変速機,killer,the-deathslinger,生存者を負傷させた後に修理スキルをグレート判定以外で可視化,aura;info;gen-related,perks/gearhead.png
dead-mans-switch,死人のスイッチ,killer,the-deathslinger,フック吊り中に生存者が修理を中断した発電機を一時封鎖する,gen-related,perks/dead-mans-switch.png
hex-retribution,呪術：報復,killer,the-deathslinger,トーテムを触った生存者を忘却にし破壊時は全員オーラ表示,totem;aura;info,perks/hex-retribution.png
forced-penance,強制苦行,killer,the-executioner,他生存者の代わりに攻撃を庇い被弾した生存者を衰弱状態にする,healing,perks/forced-penance.png
trail-of-torment,煩悶のトレイル,killer,the-executioner,発電機を蹴ることで自身の脅威心音を消し発電機オーラを光らす,stealth;gen-related;aura,perks/trail-of-torment.png
deathbound,デスバウンド,killer,the-executioner,キラーから離れた位置で他者治療を終えた生存者を叫ばせる,info,perks/deathbound.png
dragons-grip,ドラゴンの掌握,killer,the-blight,破壊した発電機を最初に触った生存者を叫ばせて無防備にする,info;gen-related,perks/dragons-grip.png
hex-blood-favour,呪術：血の恩恵,killer,the-blight,通常攻撃で生存者を負傷させた時周囲の板を引き倒せなくする,totem;chase,perks/hex-blood-favour.png
hex-undying,呪術：不死,killer,the-blight,他の呪いトーテムが壊された際その効果を別トーテムへ移す,totem;info;aura,perks/hex-undying.png
hoarder,溜め込み屋,killer,the-twins,生存者がチェストを開けた際やアイテム回収時に通知を受ける,info,perks/hoarder.png
oppression,迫害,killer,the-twins,発電機を破壊した際他の複数の発電機も同時に強制退退させる,gen-related,perks/oppression.png
coup-de-grace,とどめの一撃,killer,the-twins,発電機修理完了ごとにトークンを得て突進の攻撃距離を伸ばす,chase,perks/coup-de-grace.png
starstruck,スターに憧れて,killer,the-trickster,生存者を担いでいる際周囲にいる他生存者を全員無防備にする,chase,perks/starstruck.png
hex-crowd-control,呪術：クラウドコントロール,killer,the-trickster,生存者が窓枠の高速乗り越えを行った際その窓を一時封鎖する,totem;chase,perks/hex-crowd-control.png
no-way-out,袋小路,killer,the-trickster,各サバイバーを吊った回数に基づきゲートスイッチを遅延する,info,perks/no-way-out.png
lethal-pursuer,死を呼ぶ追跡者,killer,the-nemesis,ゲーム開始直後に全員の位置を表示し他オーラ表示を延長する,aura;info,perks/lethal-pursuer.png
hysteria,集団ヒステリー,killer,the-nemesis,健康状態の生存者を通常攻撃で負傷時に負傷中全員を忘却にする,stealth;info,perks/hysteria.png
eruption,イラプション,killer,the-nemesis,予め破壊しマークした発電機を生存者ダウン時に即爆発後退する,gen-related,perks/eruption.png
no-holds-barred,デッドロック,killer,the-cenobite,生存者の初回吊りや特定条件時にパレット窓枠を強制閉鎖する,chase,perks/no-holds-barred.png
hex-fortunes-fool,呪術：玩具,killer,the-cenobite,トーテム破壊時などにサバイバーへ状態異常デバフを付与する,totem,perks/hex-fortunes-fool.png
scourge-hook-weeping-wounds,悶絶のフック：苦痛という名の賜り物,killer,the-cenobite,悶絶フックから救助された生存者を重傷および出血状態にする,healing,perks/scourge-hook-weeping-wounds.png
grim-embrace,不吉な包囲,killer,the-artist,生存者を吊るすごとに全発電機を一時的にまとめて封鎖する,gen-related,perks/grim-embrace.png
scourge-hook-pain-resonance,悶絶のフック：共鳴する苦痛,killer,the-artist,悶絶フック吊り時に最も進行中の発電機を大幅に爆発後退する,gen-related,perks/scourge-hook-pain-resonance.png
hex-pentimento,呪術：ペンティメント,killer,the-artist,破壊されたトーテムを復活させ生存者に強力な遅延効果を課す,totem;gen-related;healing,perks/hex-pentimento.png
scourge-hook-floods-of-rage,悶絶のフック：氾濫する憤怒,killer,the-onryo,フックから生存者が救助された際別生存者の位置を全て表示,aura;info,perks/scourge-hook-floods-of-rage.png
call-of-brine,海の呼び声,killer,the-onryo,破壊した発電機の後退速度を上昇させスキル失敗を通知する,gen-related;info,perks/call-of-brine.png
merciless-storm,怒涛の嵐,killer,the-onryo,発電機の修理がほぼ完了する際連続スキルチェックを強要する,gen-related,perks/merciless-storm.png
dissolution,解体,killer,the-dredge,負傷させた生存者が至近距離で窓や板を乗り越えた際板を壊す,chase,perks/dissolution.png
darkness-revealed,露見する闇,killer,the-dredge,ロッカーを開いた際全ロッカー周囲にいる生存者のオーラ表示,aura;info,perks/darkness-revealed.png
septic-touch,腐敗の気配,killer,the-dredge,キラーの脅威心音範囲内で治療を行う生存者に疲労盲目を付与,chase;healing,perks/septic-touch.png
superior-anatomy,人体の超越,killer,the-mastermind,生存者が近くで乗り越えを行った際自身の乗り越えを速める,chase,perks/superior-anatomy.png
awakened-awareness,知覚覚醒,killer,the-mastermind,生存者を担いで運んでいる際自身の周囲にいる他生存者を表示,aura;info,perks/awakened-awareness.png
terminus,終末期,killer,the-mastermind,脱出ゲートの通電時に負傷している全生存者を衰弱状態にする,healing,perks/terminus.png
nowhere-to-hide,隠れ場なし,killer,the-knight,発電機を破壊した際自身の周囲に隠れている生存者を表示する,aura;info,perks/nowhere-to-hide.png
hex-face-the-darkness,呪術：闇との対面,killer,the-knight,サバイバー負傷時脅威範囲外の生存者を定期的に叫ばせる,totem;aura;info,perks/hex-face-the-darkness.png
hubris,ヒュブリス,killer,the-knight,パレットで自身をスタンさせてきた生存者を一時無防備にする,chase,perks/hubris.png
thwack,バシッ！,killer,the-skull-merchant,パレット破壊時に周囲のサバイバーを叫ばせオーラを暴く,aura;info;chase,perks/thwack.png
leverage,骨抜きの作用,killer,the-skull-merchant,生存者をフックに吊るすごとに他サバイバーの治療速度を下げる,healing,perks/leverage.png
game-afoot,執拗な狩り,killer,the-skull-merchant,最もチェイスの長い生存者をオブセとしパレット破壊で加速する,chase,perks/game-afoot.png
genetic-limits,遺伝的限界,killer,the-singularity,サバイバーが治療アクションを完了した際一定時間疲労にする,healing;chase,perks/genetic-limits.png
forced-hesitation,躊躇の強制,killer,the-singularity,生存者ダウン時にその近くにいた別生存者に大きな減速を強いる,chase,perks/forced-hesitation.png
machine-learning,機械学習,killer,the-singularity,蹴った特定の発電機完了時探知不可と移動速度上昇バフを得る,stealth;chase;aura,perks/machine-learning.png
rapid-brutality,素早い残虐行為,killer,the-xenomorph,通常攻撃を当てた後渇望を失う代わりに一定時間移動を速める,chase,perks/rapid-brutality.png
alien-instinct,エイリアンの本能,killer,the-xenomorph,生存者を吊るした際負傷中の最も遠い生存者のオーラを表示,aura;info,perks/alien-instinct.png
ultimate-weapon,究極の武器,killer,the-xenomorph,ロッカー開放時に脅威範囲内の生存者を叫ばせ盲目にする,info,perks/ultimate-weapon.png
hex-two-can-play,呪術：二人遊び,killer,the-good-guy,気絶や眩ましを行ってきた生存者に一時的な失明を強いる呪い,totem;chase,perks/hex-two-can-play.png
friends-til-the-end,死ぬまで親友,killer,the-good-guy,生存者フック時にオブセッションを変動し無防備・オーラ化,aura;info,perks/friends-til-the-end.png
batteries-included,電池付き,killer,the-good-guy,すでに通電を終えた発電機の近くにいる間自身の速度が上がる,chase;gen-related,perks/batteries-included.png
unbound,アンバウンド,killer,the-unknown,生存者を負傷させた後に窓枠を乗り越えた際移動速度を上げる,chase,perks/unbound.png
unforeseen,想定外の展開,killer,the-unknown,発電機を破壊時自身の脅威範囲をそこに移転し探知不可になる,stealth;aura,perks/unforeseen.png
undone,未達の成果,killer,the-unknown,スキルチェック失敗によるトークンを消費し後退効果を高める,gen-related,perks/undone.png
weave-attunement,同調,killer,the-lich,地面に落とされたアイテムの周囲にいる生存者をオーラ化する,aura;info,perks/weave-attunement.png
languid-touch,倦怠感,killer,the-lich,カラスを羽ばたかせた生存者を一定時間疲労状態にする,info;chase,perks/languid-touch.png
dark-arrogance,闇の慢心,killer,the-lich,スタン時間が延びる代わりに自身の窓枠乗り越え速度を高める,chase,perks/dark-arrogance.png
hex-wretched-fate,呪術：悲惨な運命,killer,the-dark-lord,吊るした人数に基づき特定の生存者の修理を遅延する呪い,totem;gen-related,perks/hex-wretched-fate.png
human-greed,人間の欲,killer,the-dark-lord,チェスト付近の生存者のオーラを表示しキックでチェスト閉鎖,aura;info,perks/human-greed.png
dominance,支配,killer,the-dark-lord,チェストやトーテムへのサバイバーの干渉アクションを妨害,totem,perks/dominance.png
all-shaking-thunder,天地を揺るがす雷,killer,the-houndmaster,高所から落下した直後に一定時間突進攻撃の射程を延長する,chase,perks/all-shaking-thunder.png
scourge-hook-jagged-compass,悶絶のフック：不規則なコンパス,killer,the-houndmaster,悶絶フック吊り時に最も進行している発電機を可視化する,aura;info;gen-related,perks/scourge-hook-jagged-compass.png
no-quarter,容赦なし,killer,the-houndmaster,自己治療完了間際に極難スキルチェックを課し失敗時に衰弱化,healing,perks/no-quarter.png
hex-nothing-but-misery,呪術：生き地獄,killer,the-ghoul,サバイバーを攻撃するとトーテムが呪われその相手に妨害付与,totem;chase,perks/hex-nothing-but-misery.png
forever-entwined,切れない縁,killer,the-ghoul,生存者を負傷させる度に担ぎや吊りアクションの速度が上昇する,chase,perks/forever-entwined.png
none-are-free,誰も自由ではない,killer,the-ghoul,全員吊るすと通電時にマップ内の全ての窓枠やパレットを封鎖,chase,perks/none-are-free.png
help-wanted,従業員募集中,killer,the-animatronic,発電機破壊時に罠を仕掛け完了時に攻撃のクールダウンを短縮,gen-related;chase,perks/help-wanted.png
phantom-fear,幻影の震撼,killer,the-animatronic,脅威範囲内で自身を直視した生存者を叫ばせてオーラ表示する,aura;info,perks/phantom-fear.png
haywire,誤作動,killer,the-animatronic,進行中の脱出ゲートを自動後退させスイッチ周囲を明滅する,info,perks/haywire.png
ravenous,貪欲,killer,the-krasue,各生存者の初回フック吊りでトークンを得て全員を一定時間無防備,info,perks/ravenous.png
visceral-sympathy,泳ぐ目,killer,the-krasue,チェイス開始時に近くにいる他の負傷者のオーラを表示する,aura;info,perks/visceral-sympathy.png
hex-sinister-grace,呪術：破滅の序曲,killer,the-krasue,最遠の発電機を呪い修理中の生存者に自身の心音を押しつける,totem;stealth;gen-related,perks/hex-sinister-grace.png
turn-back-the-clock,時間の逆行,killer,the-first,生存者をフックに吊るした際進行が最大の発電機を自動後退する,gen-related,perks/turn-back-the-clock.png
secret-project,極秘プロジェクト,killer,the-first,生存者がトーテムに干渉した際進行を遮断し特定叫び声を発する,totem,perks/secret-project.png
hex-the-hive,呪術：ハイブマインド,killer,the-first,生存者がグレート修理を成功させる度その後の後退速度を増す,totem;gen-related,perks/hex-the-hive.png
hex-scared-to-death,呪術：死への恐怖,killer,the-slasher,吊るした人数で点火しチェイス中板破壊で周囲に叫びと妨害付与,totem;chase;info,perks/hex-scared-to-death.png
silent-shadow,静かなる影,killer,the-slasher,生存者吊り時に探知不可を得て全発電機完了後は永続探知不可化,stealth,perks/silent-shadow.png
rampage,暴走,killer,the-slasher,板壁破壊で得たトークンでスタン気絶や目つぶし時に迅速を得る,chase,perks/rampage.png
bond,絆,survivor,dwight-fairfield,一定範囲内にいる他の生存者のオーラを常時視認できるようになる,aura;info,perks/bond.png
prove-thyself,有能の証明,survivor,dwight-fairfield,他の生存者と共同で発電機を修理する際、修理作業速度を上げる,gen-related;communication,perks/prove-thyself.png
leader,リーダー,survivor,dwight-fairfield,自身から一定範囲内にいる他の生存者の治療や救助の速度を上げる,communication,perks/leader.png
quick-and-quiet,素早く静かに,survivor,meg-thomas,窓枠の高速乗り越えやロッカー隠密時の大きな通知音を完全に消す,stealth;chase,perks/quick-and-quiet.png
sprint-burst,全力疾走,survivor,meg-thomas,走り始めた直後の数秒間、爆発的なスピードで前方にダッシュする,chase,perks/sprint-burst.png
adrenaline,アドレナリン,survivor,meg-thomas,脱出ゲート通電時に即座に健康を１段階回復し、迅速ダッシュする,chase;endurance,perks/adrenaline.png
empathy,共感,survivor,claudette-morel,負傷しているマップ上のすべての他の生存者のオーラを常時表示する,aura;info;healing,perks/empathy.png
botany-knowledge,植物学の知識,survivor,claudette-morel,自身の治療速度を高めるが、代わりに回復アイテムの消費を増やす,healing,perks/botany-knowledge.png
self-care,セルフケア,survivor,claudette-morel,回復アイテムを持たない状態でも自身の負傷を自力で治療できる,healing,perks/self-care.png
iron-will,鋼の意思,survivor,jake-park,負傷した生存者が発する特徴的な苦痛のうめき声を大幅に軽減する,stealth,perks/iron-will.png
calm-spirit,魂の平穏,survivor,jake-park,環境のカラスを驚かさなくなりキラーによる叫び声通知を防ぐ,stealth,perks/calm-spirit.png
saboteur,サボタージュ,survivor,jake-park,工具箱を消費することなくキラーのフックを自力で解体破壊できる,info,perks/saboteur.png
balanced-landing,スマートな着地,survivor,nea-karlsson,高所からの落下時に着地硬直を消し、一時的に迅速状態になる,chase,perks/balanced-landing.png
urban-evasion,都会の逃走術,survivor,nea-karlsson,しゃがみ移動中の移動速度が上昇し、通常歩行時と同等の速度にする,stealth,perks/urban-evasion.png
streetwise,都会の生存術,survivor,nea-karlsson,自分と範囲内の仲間の全アイテム消費率を大幅に低下させる,communication,perks/streetwise.png
sole-survivor,唯一の生存者,survivor,laurie-strode,仲間が犠牲になる度に自身のオーラをキラーから完全に遮断する,stealth,perks/sole-survivor.png
object-of-obsession,執念の対象,survivor,laurie-strode,特定の条件下においてキラーとお互いのオーラを相互に可視化する,aura;info,perks/object-of-obsession.png
decisive-strike,決死の一撃,survivor,laurie-strode,担がれた際スキル成功でキラーを気絶させ自力脱出する,chase;endurance,perks/decisive-strike.png
left-behind,置き去りにされた者,survivor,bill-overbeck,自身が最後の生存者となった際脱出ハッチのオーラを表示する,aura;info,perks/left-behind.png
borrowed-time,与えられた猶予,survivor,bill-overbeck,フックから救助した味方に我慢バフを与え一撃ダウンを防ぐ,endurance;communication,perks/borrowed-time.png
unbreakable,不滅,survivor,bill-overbeck,這いずり状態からの自力復帰を一回可能にし、回復を速める,endurance,perks/unbreakable.png
technician,テクニシャン,survivor,feng-min,発電機修理時の爆発を防ぎ、修理時の稼働音も小さくする,gen-related,perks/technician.png
lithe,しなやか,survivor,feng-min,チェイス中に窓枠を高速で乗り越えた直後、一定時間ダッシュする,chase,perks/lithe.png
alert,警戒,survivor,feng-min,キラーがパレットや発電機を破壊した際そのオーラを表示する,aura;info,perks/alert.png
were-gonna-live-forever,ずっと一緒だ,survivor,david-king,救助時などに這いずり回復を速め仲間に我慢効果を与える,healing;endurance,perks/were-gonna-live-forever.png
dead-hard,デッド・ハード,survivor,david-king,負傷時にタイミングよく耐えることでキラーの一撃を無効化する,chase;endurance,perks/dead-hard.png
no-mither,弱音はナシだ,survivor,david-king,常時負傷・自力復帰可能になりうめき声と血痕をなくす,endurance;healing,perks/no-mither.png
wake-up,目を覚ませ！,survivor,quentin-smith,脱出ゲートの開放速度を高め、位置をオーラで把握可能にする,aura;info,perks/wake-up.png
pharmacy,調剤学,survivor,quentin-smith,チェスト調査を高速化し初回時に非常用医療キットを確定入手する,healing,perks/pharmacy.png
vigil,寝ずの番,survivor,quentin-smith,自身と周囲の仲間の疲労や各種状態異常の回復速度を速める,communication,perks/vigil.png
tenacity,執念,survivor,david-tapp,這いずり状態時の移動速度を上げ、同時に自己回復も行える,endurance,perks/tenacity.png
detectives-hunch,刑事の直感,survivor,david-tapp,発電機修理完了時周囲にあるチェストやトーテムを表示する,aura;info,perks/detectives-hunch.png
stake-out,張り込み,survivor,david-tapp,脅威範囲内に隠れることでトークンを得て修理スキルを自動強化,gen-related,perks/stake-out.png
dance-with-me,ダンス・ウィズ・ミー,survivor,kate-denson,高速窓枠乗り越えなどの後一定時間自身の赤い足跡を消す,chase;stealth,perks/dance-with-me.png
windows-of-opportunity,ウィンドウズ・オブ・オポチュニティ,survivor,kate-denson,自身の周囲にあるすべてのパレットや窓枠のオーラを常に表示,aura;info;chase,perks/windows-of-opportunity.png
boil-over,ボイルオーバー,survivor,kate-denson,キラーに担がれた際の揺さぶりを強めフックの位置情報を乱す,chase,perks/boil-over.png
deliverance,解放,survivor,adam-francis,安全に仲間をフック救助した際自身の初回吊り時に自力脱出する,endurance,perks/deliverance.png
diversion,陽動,survivor,adam-francis,脅威範囲内に一定時間潜み石を投げて離れた場所に音通知を起こす,stealth,perks/diversion.png
autodidact,独学者,survivor,adam-francis,スキルグレート失敗を引き換えに治療スキル成功時の進行を高める,healing,perks/autodidact.png
breakdown,ブレイクダウン,survivor,jeff-johansen,フックから自力救助または救助された際そのフックを一時破壊する,communication,perks/breakdown.png
aftercare,アフターケア,survivor,jeff-johansen,救助や治療を相互に行った生存者同士のオーラを永続表示する,aura;info;communication,perks/aftercare.png
distortion,ディストーション,survivor,jeff-johansen,トークンを消費してキラーからの自身のオーラ可視を完全に防ぐ,stealth;info,perks/distortion.png
solidarity,連帯感,survivor,jane-romero,自分が負傷中に他サバイバーを治療する際自身の傷も同時回復する,healing,perks/solidarity.png
poised,平常心,survivor,jane-romero,発電機の修理が完了した瞬間から一定時間赤い足跡を消去する,stealth,perks/poised.png
head-on,真っ向勝負,survivor,jane-romero,ロッカー内に隠れた後勢いよく出ることでキラーをスタンさせる,chase,perks/head-on.png
flip-flop,フリップ・フロップ,survivor,ash-williams,這いずり状態時の自己回復進行度の一部をもがきゲージに変換する,endurance,perks/flip-flop.png
buckle-up,ベルトを締めろ！,survivor,ash-williams,瀕死の生存者回復時にキラーを視認しその生存者を加速させる,healing;info;aura,perks/buckle-up.png
mettle-of-man,英雄の奮起,survivor,ash-williams,味方を庇い攻撃を受けた回数に応じて負傷時の一撃を無効化する,endurance,perks/mettle-of-man.png
better-together,一緒にいよう,survivor,nancy-wheeler,修理中の発電機のオーラを範囲内の全サバイバーに共有する,aura;info;communication,perks/better-together.png
fixated,執着心,survivor,nancy-wheeler,自身の無傷時に赤い足跡を確認でき通常の歩行速度が上昇する,info;stealth,perks/fixated.png
inner-strength,内なる力,survivor,nancy-wheeler,トーテムを浄化後にロッカーに一定時間隠れることで自己回復する,healing,perks/inner-strength.png
babysitter,ベビーシッター,survivor,steve-harrington,救助した味方の足跡を隠して加速しお互いのオーラをキラーに示す,communication;stealth,perks/babysitter.png
camaraderie,仲間意識,survivor,steve-harrington,自身がフック吊り中に仲間が近づいた際耐久進行タイマーを止める,communication;endurance,perks/camaraderie.png
second-wind,セカンドウインド,survivor,steve-harrington,他者のフック救助後に次にフックから降りた際自動で自己治療する,healing,perks/second-wind.png
any-means-necessary,怪我の功名,survivor,yui-kimura,倒されたが壊されていないパレットを元に戻しオーラを表示する,chase;aura,perks/any-means-necessary.png
breakout,強硬手段,survivor,yui-kimura,担がれた味方の近くにいる際自身の速度上昇ともがきを速める,chase;communication,perks/breakout.png
lucky-break,突破,survivor,yui-kimura,負傷した瞬間に足跡と血液を一定時間隠してキラーを攪乱する,stealth,perks/lucky-break.png
red-herring,おとり,survivor,zarina-kassir,特定の発電機修理後にロッカーへ入ることでそこに爆発音を起こす,stealth,perks/red-herring.png
off-the-record,オフレコ,survivor,zarina-kassir,フックから救助時に一定時間足跡血痕うめき声を完全に隠す,stealth;endurance,perks/off-the-record.png
for-the-people,人々のために,survivor,zarina-kassir,自身の健康段階を犠牲にして瞬時に負傷した仲間を回復する,healing,perks/for-the-people.png
soul-guard,ソウルガード,survivor,cheryl-mason,這いずり状態から回復した直後に一撃分の我慢効果を獲得する,endurance,perks/soul-guard.png
blood-bound,血の協定,survivor,cheryl-mason,オブセッションと治療時に相互オーラ表示と一時移動速度バフ,aura;info;communication,perks/blood-bound.png
repressed-alliance,抑圧の同盟,survivor,cheryl-mason,一定時間修理した発電機を自身で一定時間完全封鎖し破壊を防ぐ,gen-related,perks/repressed-alliance.png
visionary,透視家,survivor,felix-richter,自身の周囲にあるすべての未完了の発電機のオーラを表示する,aura;info;gen-related,perks/visionary.png
desperate-measures,苦肉の策,survivor,felix-richter,負傷中やフック吊りの仲間人数に基づき全員の治療救助を速める,healing,perks/desperate-measures.png
built-to-last,耐久設計,survivor,felix-richter,消耗しきったアイテムをロッカーに持ち込み一定時間で再補給する,healing,perks/built-to-last.png
appraisal,査定,survivor,elodie-rakoto,開放済みのチェストを物色して再度アイテムを獲得可能にする,info,perks/appraisal.png
deception,欺き,survivor,elodie-rakoto,走りながらロッカーを開くフェイントを入れ足跡を一定時間消す,stealth;chase,perks/deception.png
power-struggle,勢力争い,survivor,elodie-rakoto,キラーに担がれ移動中パレットの下でもがき度消費で板を落とす,chase,perks/power-struggle.png
